GENEID	GENENAME	GENEDESCRP	METABOLIC
YAL001C	TFC3	Transcription Factor class C	NA
YPR153W	(MAY24)	genetic interaction profile similarity to MTC Annotated Yeast genes MTC2 and MTC4	NA
YKL134C	(OCT01)	OCTapeptidyl aminopeptidase	NA
YMR056C	AAC1	ADP/ATP Carrier	Yeast7.6
YBR085W	AAC3	ADP/ATP Carrier	Yeast7.6
YJR155W	AAD10	Aryl-Alcohol Dehydrogenase	NA
YNL331C	AAD14	Aryl-Alcohol Dehydrogenase	NA
YOL165C	AAD15	Aryl-Alcohol Dehydrogenase	NA
YCR107W	AAD3	Aryl-Alcohol Dehydrogenase	NA
YDL243C	AAD4	Aryl-Alcohol Dehydrogenase	NA
YNL141W	AAH1	Adenine AminoHydrolase	Yeast7.6
YHR047C	AAP1	Arginine/alanine AminoPeptidase	NA
YBL074C	AAR2	A1-Alpha2 Repression	NA
YKL106W	AAT1	Aspartate AminoTransferase	Yeast7.6
YLR027C	AAT2	Aspartate AminoTransferase	Yeast7.6
YBR236C	ABD1		NA
YKL112W	ABF1	ARS-Binding Factor 1	NA
YMR072W	ABF2	ARS-Binding Factor	NA
YJR108W	ABM1	Aberrant Microtubules	NA
YCR088W	ABP1	Actin Binding Protein	NA
YOR239W	ABP140	Actin Binding Protein	NA
YNR033W	ABZ1	para-AminoBenZoic acid (PABA) biosynthesis	Yeast7.6
YMR289W	ABZ2	para-AminoBenZoic acid (PABA) biosynthesis	Yeast7.6
YER045C	ACA1	ATF/CREB Activator	NA
YGR037C	ACB1	Acyl-CoA-Binding	NA
YNR016C	ACC1	Acetyl-CoA Carboxylase	Yeast7.6
YLR131C	ACE2	Activator of CUP1 Expression	NA
YLR144C	ACF2	Assembly Complementing Factor	NA
YJR083C	ACF4	Assembly Complementing Factor	NA
YBL015W	ACH1	Acetyl CoA Hydrolase	Yeast7.6
YDL203C	ACK1	Activator of C Kinase 1	NA
YDR161W	ACL4	Assembly Chaperone of RpL4	NA
YPL267W	ACM1	APC/C[Cdh1] Modulator	NA
YLR304C	ACO1	ACOnitase	Yeast7.6
YJL200C	ACO2	ACOnitase	NA
YKL192C	ACP1	Acyl Carrier Protein	Yeast7.6
YAL054C	ACS1	Acetyl CoA Synthetase	Yeast7.6
YLR153C	ACS2	Acetyl CoA Synthetase	Yeast7.6
YFL039C	ACT1	ACTin	NA
YDR448W	ADA2	transcriptional ADAptor	NA
YMR184W	ADD37	Alpha1-proteinase inhibitor-Degradation Deficient	NA
YKL206C	ADD66	Alpha1-proteinase inhibitor-Degradation Deficient	NA
YAR015W	ADE1	ADEnine requiring	Yeast7.6
YNL220W	ADE12	ADEnine requiring	Yeast7.6
YLR359W	ADE13	ADEnine requiring	Yeast7.6
YLR028C	ADE16	ADEnine	Yeast7.6
YMR120C	ADE17	ADEnine	Yeast7.6
YOR128C	ADE2	ADEnine requiring	Yeast7.6
YGR204W	ADE3	ADEnine requiring	Yeast7.6
YMR300C	ADE4	ADEnine requiring	Yeast7.6
YGL234W	"ADE5,7"	ADEnine requiring	Yeast7.6
YGR061C	ADE6	ADEnine requiring	Yeast7.6
YDR408C	ADE8	ADEnine requiring	Yeast7.6
YCL058W-A	ADF1	Antisense of Depressing Factor	NA
YOL086C	ADH1	Alcohol DeHydrogenase	Yeast7.6
YMR303C	ADH2	Alcohol DeHydrogenase	Yeast7.6
YMR083W	ADH3	Alcohol DeHydrogenase	Yeast7.6
YGL256W	ADH4	Alcohol DeHydrogenase	Yeast7.6
YBR145W	ADH5	Alcohol DeHydrogenase	Yeast7.6
YMR318C	ADH6	Alcohol DeHydrogenase	Yeast7.6
YCR105W	ADH7	Alcohol DeHydrogenase	Yeast7.6
YMR009W	ADI1	Acireductone DIoxygenase	Yeast7.6
YDR226W	ADK1	ADenylate Kinase	Yeast7.6
YER170W	ADK2	ADenylate Kinase	Yeast7.6
YJR105W	ADO1	ADenOsine kinase	Yeast7.6
YCR011C	ADP1	ATP-Dependent Permease	NA
YDR216W	ADR1	Alcohol Dehydrogenase II synthesis Regulator	NA
YCR010C	ADY2	Accumulation of DYads	Yeast7.6
YDL239C	ADY3	Accumulation of DYads	NA
YLR227C	ADY4	Accumulation of DYads	NA
YMR064W	AEP1	ATPase ExPression	NA
YMR282C	AEP2	ATPase ExPression	NA
YPL005W	AEP3	ATPase ExPression	NA
YLR040C	AFB1	A-Factor Barrier	NA
YEL052W	AFG1	ATPase Family Gene	NA
YLR397C	AFG2	ATPase Family Gene	NA
YER017C	AFG3	ATPase Family Gene	NA
YOR129C	AFI1	ArF3-Interacting protein	NA
YDR085C	AFR1	Alpha-Factor Receptor regulator	NA
YGL071W	AFT1	Activator of Ferrous Transport	NA
YPL202C	AFT2	Activator of Fe (iron) Transcription	NA
YNR044W	AGA1	a-AGglutinin	NA
YGL032C	AGA2	a-AGglutinin	NA
YPR021C	AGC1	Aspartate-Glutamate Carrier	Yeast7.6
YDR524C	AGE1	Arf Gap with Effector function(s)	NA
YIL044C	AGE2	ArfGAP Effector	NA
YCL025C	AGP1	high-Affinity Glutamine Permease	Yeast7.6
YBR132C	AGP2	high-Affinity Glutamine Permease	Yeast7.6
YFL055W	AGP3	high-Affinity Glutamine Permease	Yeast7.6
YFL030W	AGX1	Alanine:Glyoxylate aminotrans(X)ferase	Yeast7.6
YDR214W	AHA1	Activator of Heat shock protein 90 ATPase	NA
YOR023C	AHC1	Ada Histone acetyltransferase complex Component	NA
YCR082W	AHC2	Ada Histone acetyltransferase complex Component	NA
YDL073W	AHK1	Associated with HKr1	NA
YLR109W	AHP1	Alkyl HydroPeroxide reductase	Yeast7.6
YHR093W	AHT1		NA
Q0050	AI1		NA
Q0055	AI2		NA
Q0060	AI3		NA
Q0065	AI4		NA
Q0070	AI5_ALPHA		NA
Q0075	AI5_BETA		NA
YNR074C	AIF1	Apoptosis-Inducing Factor	NA
YER087W	AIM10	Altered Inheritance rate of Mitochondria	NA
YER093C-A	AIM11	Altered Inheritance rate of Mitochondria	NA
YGL160W	AIM14	Altered Inheritance rate of Mitochondria	NA
YHL021C	AIM17	Altered Inheritance rate of Mitochondria	NA
YHR198C	AIM18	Altered Inheritance rate of Mitochondria	NA
YIL087C	AIM19	Altered Inheritance rate of Mitochondria	NA
YAL049C	AIM2	Altered Inheritance rate of Mitochondria	NA
YIL158W	AIM20	Altered Inheritance rate of Mitochondria	NA
YIR003W	AIM21	Altered Inheritance rate of Mitochondria	NA
YJL046W	AIM22	Altered Inheritance rate of Mitochondria	NA
YJL131C	AIM23	Altered Inheritance rate of Mitochondria	NA
YJR080C	AIM24	Altered Inheritance rate of Mitochondria	NA
YJR100C	AIM25	Altered Inheritance of Mitochondria	NA
YKL037W	AIM26	Altered Inheritance rate of Mitochondria	NA
YKR074W	AIM29	Altered Inheritance rate of Mitochondria	NA
YBR108W	AIM3	Altered Inheritance rate of Mitochondria	NA
YML050W	AIM32	Altered Inheritance rate of Mitochondria	NA
YML087C	AIM33	Altered Inheritance rate of Mitochondria	NA
YMR003W	AIM34	Altered Inheritance rate of Mitochondria	NA
YMR157C	AIM36	Altered Inheritance rate of Mitochondria	NA
YOL053W	AIM39	Altered Inheritance rate of Mitochondria	NA
YBR194W	AIM4	Altered Inheritance rate of Mitochondria	NA
YOR215C	AIM41	Altered Inheritance of Mitochondria	NA
YPL158C	AIM44	Altered Inheritance rate of Mitochondria	NA
YPR004C	AIM45	Altered Inheritance rate of Mitochondria	NA
YHR199C	AIM46	Altered Inheritance rate of Mitochondria	NA
YDL237W	AIM6	Altered Inheritance rate of Mitochondria	NA
YDR063W	AIM7	Altered Inheritance rate of Mitochondria	NA
YER080W	AIM9	Altered Inheritance rate of Mitochondria	NA
YMR092C	AIP1	Actin Interacting Protein	NA
YIL079C	AIR1	Arginine methyltransferase-Interacting RING finger protein	NA
YDL175C	AIR2	Arginine methyltransferase-Interacting RING finger protein	NA
YBR059C	AKL1	Ark family Kinase-Like protein	NA
YDR264C	AKR1	AnKyrin Repeat containing	NA
YOR034C	AKR2	AnKyrin Repeat-containing protein	NA
YOR335C	ALA1	ALAnyl-tRNA synthetase	Yeast7.6
YJL122W	ALB1	Arx1 Little Brother	NA
YMR170C	ALD2	ALdehyde Dehydrogenase	Yeast7.6
YMR169C	ALD3	ALdehyde Dehydrogenase	Yeast7.6
YOR374W	ALD4	ALdehyde Dehydrogenase	Yeast7.6
YER073W	ALD5	ALdehyde Dehydrogenase	Yeast7.6
YPL061W	ALD6	ALdehyde Dehydrogenase	Yeast7.6
YOR175C	ALE1	Acyltransferase for Lyso-phosphatidylEthanolamine	Yeast7.6
YNL148C	ALF1	ALpha tubulin Folding	NA
YBR110W	ALG1	Asparagine-Linked Glycosylation	Yeast7.6
YNL048W	ALG11	Asparagine-Linked Glycosylation	NA
YNR030W	ALG12	Asparagine-Linked Glycosylation	NA
YGL047W	ALG13	Asparagine-Linked Glycosylation	NA
YBR070C	ALG14	Asparagine Linked Glycosylation	NA
YGL065C	ALG2	Asparagine-Linked Glycosylation	NA
YBL082C	ALG3	Asparagine Linked Glycosylation	NA
YPL227C	ALG5	Asparagine-Linked Glycosylation	NA
YOR002W	ALG6	Asparagine-Linked Glycosylation	NA
YBR243C	ALG7	Asparagine-Linked Glycosylation	NA
YOR067C	ALG8	Asparagine-Linked Glycosylation	NA
YNL219C	ALG9	Asparagine-Linked Glycosylation	NA
YGL021W	ALK1		NA
YBL009W	ALK2		NA
YML086C	ALO1	"D-Arabinono-1,4-Lactone Oxidase"	Yeast7.6
YNL270C	ALP1		Yeast7.6
YOL130W	ALR1	ALuminum Resistance	NA
YFL050C	ALR2	ALuminum Resistance	NA
YLR089C	ALT1	ALanine Transaminase	Yeast7.6
YDR111C	ALT2	ALanine Transaminase	NA
YKR021W	ALY1	Arrestin-Like Yeast protein	NA
YJL084C	ALY2	Arrestin-Like Yeast protein	NA
YGR225W	AMA1	Activator of Meiotic APC/C	NA
YML035C	AMD1	AMP Deaminase	Yeast7.6
YDR242W	AMD2	AMiDase	NA
YBR211C	AME1	Associated with Microtubules and Essential	NA
YOR378W	AMF1	AMmonium Facilitator	NA
YBR158W	AMN1	Antagonist of Mitotic exit Network	NA
YGL156W	AMS1	Alpha-MannoSidase	NA
YJR047C	ANB1	ANaeroBically induced	NA
YEL036C	ANP1	ANP and osmotic sensitive	NA
YKL047W	ANR2	Avl Nine Related family 2	NA
YHR126C	ANS1		NA
YPR128C	ANT1	Adenine Nucleotide Transporter	Yeast7.6
YMR010W	ANY1	Antagonizes Neo1 Yeast phospholipid flippase	NA
YPR180W	AOS1	Activation Of Smt3p	NA
YCL050C	APA1	AP4A phosphorylase	Yeast7.6
YDR530C	APA2	AP4A phosphorylase	Yeast7.6
YNL172W	APC1	Anaphase Promoting Complex subunit	NA
YDL008W	APC11	Anaphase Promoting Complex	NA
YLR127C	APC2	Anaphase Promoting Complex	NA
YDR118W	APC4	Anaphase Promoting Complex	NA
YOR249C	APC5	Anaphase Promoting Complex	NA
YLR102C	APC9	Anaphase Promoting Complex	NA
YBR151W	APD1	Actin Patches Distal	NA
YKL103C	APE1	AminoPeptidase	NA
YKL157W	APE2	AminoPEptidase	NA
YBR286W	APE3	AminoPEptidase	NA
YHR113W	APE4		NA
YDR525W	API2	APIcal	NA
YNL077W	APJ1	Anti-Prion DnaJ	NA
YJR005W	APL1	clathrin Adaptor Protein complex Large chain	NA
YKL135C	APL2	clathrin Adaptor Protein complex Large chain	NA
YBL037W	APL3	clathrin Adaptor Protein complex Large chain	NA
YPR029C	APL4	clathrin Adaptor Protein complex Large chain	NA
YPL195W	APL5	clathrin Adaptor Protein complex Large chain	NA
YGR261C	APL6	clathrin Adaptor Protein complex Large chain	NA
YPL259C	APM1	clathrin Adaptor Protein complex Medium chain	NA
YHL019C	APM2	clathrin Adaptor Protein complex Medium chain	NA
YBR288C	APM3	clathrin Adaptor Protein complex Medium chain	NA
YOL062C	APM4	clathrin Adaptor Protein complex Medium chain	NA
YKL114C	APN1	APurinic/apyrimidinic eNdonuclease	NA
YBL019W	APN2	APurinic/apyrimidinic eNdonuclease	NA
YNL094W	APP1	Actin Patch Protein	NA
YIL040W	APQ12	APical growth revealed by Quantitative morphological analysis	NA
YJL075C	APQ13		NA
YLR170C	APS1	clathrin Associated Protein complex Small subunit	NA
YJR058C	APS2	clathrin Associated Protein complex Small subunit	NA
YJL024C	APS3	clathrin Associated Protein complex Small subunit	NA
YML022W	APT1	Adenine PhosphoribosylTransferase	Yeast7.6
YDR441C	APT2	Adenine PhosphoribosylTransferase	NA
YNL065W	AQR1	Acids Quinidine Resistance	NA
YPR192W	AQY1	AQuaporin from Yeast	Yeast7.6
YLL052C	AQY2	AQuaporin from Yeast	Yeast7.6
YFL054C	AQY3	AQuaporin from Yeast	NA
YBR149W	ARA1	D-ARAbinose dehydrogenase	Yeast7.6
YMR041C	ARA2	ARAbinose	Yeast7.6
YER036C	ARB1	ATP-binding cassette protein involved in Ribosome Biogenesis	NA
YGL105W	ARC1	Aminoacyl-tRNA synthetase Cofactor	NA
YIL062C	ARC15	ARp2/3 Complex subunit	NA
YLR370C	ARC18	ARp2/3 Complex subunit	NA
YKL013C	ARC19	ARp2/3 Complex subunit	NA
YNR035C	ARC35	ARp2/3 Complex subunit	NA
YBR234C	ARC40	ARp2/3 Complex subunit	NA
YHR013C	ARD1	ARrest Defective	NA
YCR048W	ARE1	Acyl-coenzyme A: cholesterol acyl transferase-Related Enzyme	Yeast7.6
YNR019W	ARE2	Acyl-coenzyme A: cholesterol acyl transferase-Related Enzyme	Yeast7.6
YDL192W	ARF1	ADP-Ribosylation Factor	NA
YDL137W	ARF2	ADP-Ribosylation Factor	NA
YOR094W	ARF3	ADP-Ribosylation Factor	NA
YOL058W	ARG1	ARGinine requiring	Yeast7.6
YJL071W	ARG2	ARGinine requiring	Yeast7.6
YJL088W	ARG3	ARGinine requiring	Yeast7.6
YHR018C	ARG4	ARGinine requiring	Yeast7.6
YER069W	"ARG5,6"	ARGinine requiring	Yeast7.6
YMR062C	ARG7	ARGinine requiring	Yeast7.6
YOL140W	ARG8	ARGinine requiring	Yeast7.6
YMR042W	ARG80	ARGinine requiring	NA
YML099C	ARG81	ARGinine requiring	NA
YDR173C	ARG82	ARGinine requiring	Yeast7.6
YDR376W	ARH1	Adrenodoxin Reductase Homolog	Yeast7.6
YGL157W	ARI1	"Aldehyde Reductase Intermediate, subclass of SDR"	NA
YNL020C	ARK1	Actin Regulating Kinase	NA
YBR164C	ARL1	ADP-Ribosylation factor-Like	NA
YPL051W	ARL3	ADP-Ribosylation factor-Like	NA
YHL040C	ARN1	AFT1 ReguloN	NA
YHL047C	ARN2	AFT1 ReguloN	NA
YDR127W	ARO1	AROmatic amino acid requiring	Yeast7.6
YDR380W	ARO10	AROmatic amino acid requiring	Yeast7.6
YGL148W	ARO2	AROmatic amino acid requiring	Yeast7.6
YDR035W	ARO3	AROmatic amino acid requiring	Yeast7.6
YBR249C	ARO4	AROmatic amino acid requiring	Yeast7.6
YPR060C	ARO7	AROmatic amino acid requiring	Yeast7.6
YGL202W	ARO8	AROmatic amino acid requiring	Yeast7.6
YDR421W	ARO80	AROmatic amino acid requiring	NA
YHR137W	ARO9	AROmatic amino acid requiring	Yeast7.6
YHR129C	ARP1	Actin-Related Protein	NA
YDR106W	ARP10	Actin-Related Protein	NA
YDL029W	ARP2	Actin-Related Protein	NA
YJR065C	ARP3	Actin-Related Protein	NA
YJL081C	ARP4	Actin-Related Protein	NA
YNL059C	ARP5	Actin-Related Protein	NA
YLR085C	ARP6	Actin-Related Protein	NA
YPR034W	ARP7	Actin-Related Protein	NA
YOR141C	ARP8	Actin-Related Protein	NA
YMR033W	ARP9	Actin-Related Protein	NA
